総額(万),家賃(万),管理費(円),物件名,間取り,面積,階,築年,構造,最寄り駅,徒歩(分),桜木町(分),路線,区,犯罪率(‰),所在地,敷/礼,バストイレ別,オートロック,エアコン,洗濯機置場,洗面台,モニタホン,宅配BOX,都市ガス,システムキッチン,IH,ガスコンロ可,物件ページ
4.4,4.0,4000,京浜東北線 磯子駅 5階建 築39年,1R,15.86㎡,5,39,鉄筋コンクリート,磯子,13,13,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区磯子2,敷 なし / 礼 なし,,,○,○,,○,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000000995586745620c51f7a6ee5b56b70d8f970616a/
4.4,4.1,3000,ウインベルソロ三ツ境,1R,16.5㎡,3,35,鉄筋コンクリート,三ツ境,12,28,相鉄本線,瀬谷区,5.34,神奈川県横浜市瀬谷区二ツ橋町,敷 なし / 礼 なし,,○,○,○,○,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000000873311b8785cf64c549a3e68c97a5a9bf84d53/
4.4,4.4,0,南横浜第1ビル,1R,17.01㎡,3,40,鉄筋コンクリート,弘明寺(市営),3,12,ブルーライン,南区,3.93,神奈川県横浜市南区大岡2,敷 なし / 礼 なし,,,○,○,,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/000001490799062ec34984a3221168fd3cbe2abdcd1f/
4.5,3.5,10000,横浜市営地下鉄ブルーライン 阪東橋駅 11階建 築34年,1R,18.3㎡,4,34,鉄骨鉄筋コンクリート,伊勢佐木長者町,14,4,ブルーライン,中区,11.11,神奈川県横浜市南区浦舟町1,敷 3.5万円 / 礼 なし,,○,○,,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/_0000024181791da9550b49be023f3aa3c6ff3f466509/
4.5,3.5,10000,横浜南プラザ,1R,18.3㎡,4,35,鉄筋コンクリート,阪東橋,7,6,ブルーライン,南区,3.93,神奈川県横浜市南区浦舟町1,敷 3.5万円 / 礼 なし,,○,○,,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000012810471da9550b49be023f3aa3c6ff3f466509/
4.5,3.5,10000,レイエクセレントリバーサイド磯子,1R,16㎡,3,36,鉄筋コンクリート,阪東橋,18,6,ブルーライン,南区,3.93,神奈川県横浜市磯子区上町,敷 なし / 礼 なし,,,○,○,,○,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/0000010101269c29a3b565284a2e2c42c1cf47c33281/
4.5,3.5,10000,横浜市営地下鉄ブルーライン 吉野町駅 5階建 築36年,1R,16㎡,3,36,鉄筋コンクリート,吉野町,16,8,ブルーライン,南区,3.93,神奈川県横浜市磯子区上町,敷 なし / 礼 なし,,,○,○,,○,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_0000044730309c29a3b565284a2e2c42c1cf47c33281/
4.5,3.5,10000,セザール第三綱島,1R,17.52㎡,3,39,鉄骨鉄筋コンクリート,綱島,12,21,東急東横線,港北区,4.78,神奈川県横浜市港北区綱島東6,敷 なし / 礼 なし,,,○,,,○,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/0000028791148f38dfdd6bfa04b5979ccb5a7251ccd2/
4.5,3.9,6000,横浜市営地下鉄ブルーライン 上大岡駅 5階建 築37年,1R,16.28㎡,3,37,鉄筋コンクリート,上大岡,7,13,ブルーライン,港南区,4.75,神奈川県横浜市港南区港南1,敷 なし / 礼 なし,,,○,○,,,,○,,○,○,https://realestate.yahoo.co.jp/rent/detail/_0000037086746f6d2a999eefd493bf507c4c2ee6c774/
4.5,3.9,6000,ラ・パルフェド・コンセルト,1R,16.28㎡,3,37,鉄筋コンクリート,上大岡,7,13,ブルーライン,港南区,4.75,神奈川県横浜市港南区港南1,敷 なし / 礼 なし,,,○,○,,,,○,,○,○,https://realestate.yahoo.co.jp/rent/detail/0000037086746f6d2a999eefd493bf507c4c2ee6c774/
4.5,4.0,5000,レイエクセレントリバーサイド磯子,1R,16.53㎡,4,36,鉄筋コンクリート,阪東橋,18,6,ブルーライン,南区,3.93,神奈川県横浜市磯子区上町,敷 なし / 礼 4万円,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000001010126f457e8976e5aa88cdd781484e5f3607a/
